index,product,category,sub_category,brand,sale_price,market_price,type,rating_clean,description,sale_price_original,sale_price_capped,discount_pct,brand_premium_index,price_retention
320,Instaglow Oxygen Bleach,Beauty & Hygiene,Skin Care,Vlcc,63.0,70.0,Face Care,4.1,"Its unique gas flushing action and exclusive formula release oxygen, which thoroughly cleanse the skin, unblocking the clogged pores, thus providing an instant fairness & radiance. Pre-bleach cream conditions skin and protects skin from irritation caused by after bleaching. Vlcc Insta Glow Herbal Bleach Pack is made from all the herbal ingredients making it the best product for your skin.",63.0,63.0,10.0,221.67292307692307,0.9
338,Radiance Boost Orange Aroma Mask,Beauty & Hygiene,Skin Care,Organic Harvest,112.5,125.0,Face Care,2.5,"Uplift the skin freshness with the Radiance Boost Organic Serum Mask. The oatmeal extract helps absorb natural skin oils and gives the skin a clean look. Aloe Vera is a great antioxidant and protects the skin from oxidative damages thus encouraging a radiant and natural glow. Aloe vera extract aids in locking in the moisture and gives the skin a radiant glow. Due to the exfoliating properties of yoghurt, the skin is transformed from being dry and dull to lighter and softer. Rich in vitamin B, keeps skin glowing and hydrated and aids in regeneration. The cheerful and uplifting fragrance of orange adds to the radiance by uplifting your mood.",112.5,112.5,10.0,481.1122222222222,0.9
346,Toothpaste - Complete Care,Beauty & Hygiene,Oral Care,Neem ,65.0,80.0,Toothpaste,4.3,"Neems anti-bacterial properties make it natures most effective germ fighter. Neem Active Complete Care Toothpaste with the naturally enriched power of neem helps preveny cavities, bleeding gums and inflammation. Its unique formulation combined with mint ensures fresh breath for hours. Use daily for strong healthy gums.",65.0,65.0,18.75,65.0,0.8125
355,Active Fresh Gel Toothpaste,Beauty & Hygiene,Oral Care,Himalaya,45.0,50.0,Toothpaste,4.3,Himalayas Active Fresh toothpaste is filled with energising herbal ingredients that guarantee long-lasting fresh breath. Menthol is a normal revitalizing agent. Indian Dil prevents mouth odour while Clove and Fennel are efficient natural astringents that tighten gums.,45.0,45.0,10.0,170.1270093457944,0.9
356,Hydro Replenish Radiance Day Crème with SPF 15,Beauty & Hygiene,Skin Care,Kaya Youth,104.3,149.0,Face Care,4.3,"Hydration is a must for skin! With time, our skin cells lose the capacity to retain hydration, leading to dull, tired and dry skin. Kaya Youth Hydro Replenish, enriched with pure Aloe Vera gel is developed by dermatologists and deep hydrates the skin to lock in hydration for upto 24 hours, giving you healthy, radiant skin! Kaya Youth Radiance Day Crème with SPF 15 has a gentle, lightweight formulation and is enriched with Aloe Hydro Lock Complex. SPF 15 protects skin from harmful UV rays and provides everyday sun protection.
The pure Aloe Vera gel helps in locking hydration and helps in removing dryness, keeping skin healthy and radiant. For best results apply pure Aloe Vera enriched crème twice to clean face and neck. The day cream is free from paraben and harmful chemicals and is suitable for all skin types. Developed by dermatologists, this aloe vera day cream is non-sticky, has a quick-absorbing texture and is ideal for daily use. Enjoy rejuvenated, youthful, bouncy skin with a dewy glow everyday – Try out the New Kaya Youth Hydro Replenish Radiance Day Crème. Also check out other hydrating Kaya Youth products for a complete skin health regime – Hydro Replenish Gentle Face wash, Ultimate Hydration Sleeping pack, Under-eye recovery gel, Light Pure Aloe Vera Gel and Refreshing Face Mist!",104.3,104.3,30.000000000000004,169.2578947368421,0.7
357,Anti-Hair Fall Shampoo,Beauty & Hygiene,Hair Care,Himalaya,123.5,130.0,Shampoo & Conditioner,4.2,Anti-Hair Fall Shampoo reduces the hair fall and promotes hair growth. It is a breakthrough 2-in-1 formula that reduces hair fall and provides nourishment to hair shafts. It also conditions and improves your hair texture to reduce hair fall due to breakage. The herbs Butea Frondosa and Bhringaraja stimulate hair follicle growth and are effective in strengthening hair roots and controlling hair fall.,123.5,123.5,5.0,170.1270093457944,0.95
384,Wipeout Germ Killing Soap,Beauty & Hygiene,Bath & Hand Wash,MyGlamm,55.2,69.0,Hand Wash & Sanitizers,4.0,"Rejuvenating and purifying, the WIPEOUT Germ Killing Soap by MyGlamm is the perfect start and finish to a long day. This anti-microbial bathing bar contains nourishing cocoa butter, enriched with germ-killing chlorhexidine with tea tree oil and healing coconut extracts to give you germ-free soft, supple and squeaky clean skin.",55.2,55.2,20.0,128.2888888888889,0.8
389,Amla Churna,Beauty & Hygiene,Health & Medicine,Dabur,80.0,80.0,Ayurveda,4.0,Dabur Amla Churna helps to increase Immunity. It has antioxidant properties and is beneficial for eyes. It provides relief from digestive problems like acidity and also from the burning sensation in chest.,80.0,80.0,0.0,189.05505263157895,1.0
408,7 O Click - Permasharp Stainless Blade,Beauty & Hygiene,Men's Grooming,Gillette,21.56,22.0,Shaving Care,4.1,"The Razor's Snap Lock Action makes shaving really convenient and hassle-free, unlike ordinary razors, its superior design ensures a firm hold and precise positioning of the blade, minimising any chances of nicks and cuts. So you can have a shave that's totally safe and comfortable.",21.56,21.56,2.0000000000000058,405.6764150943396,0.98
412,Nikhaar Hair Removal Cream For All Skin Types,Beauty & Hygiene,Feminine Hygiene,Veet,82.0,82.0,Hair Removal,4.1,"Enjoy a pleasant hair removal experience with Veet Nikhaar Hair Removal Cream – with the goodness of Turmeric, Sandal & Saffron- it gives you smooth and visibly brighter skin with every depilation. This hair depilation cream is pain-less and great for instant use. It effectively removes even short, stubborn hair and leaves skin moisturized for up to 24 hours. It can be used on legs, arms, bikini line and underarms for a perfectly finished hair-less skin. Veet Nikhaar Hair Removal Cream for all skin types gives you perfect hair removal results in just 3 to 6 minutes. Follow the steps mentioned in the pack using the special spatula provided. Before using the product, please read the pack precautions carefully. With regular use; get fewer, finer and softer hair growing back!",82.0,82.0,0.0,214.40894736842105,1.0
